"number","title","state","labels","bug_classification","classification_basis","created_at","updated_at","closed_at","body"
"505","Icons are very small on a high-DPI screen with DPI aware mode enabled","open","bug","bug","upstream bug label","2023-06-24 20:09:35","2023-06-25 17:48:29","","![image](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/78125220/230ab543-fc67-47f5-9876-2656e0dacded)
笔记本是3.5k屏幕，打开dpi感知里边图标和字体很小，基本看不清，希望能在下个版本解决这个问题"
"509","It still can't recognize the correct name of the software.","open","","bug-like","manual triage from title/body","2023-07-07 15:38:29","2023-07-07 19:32:14","","![image](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/75832012/3be1225b-637a-4ba4-8776-9bc875a7ef1f)
the  first  software is amd  software。"
"520","Uninstaller name ""Update"" causes high confidence Leftover false positives","open","bug; junk/app detection","bug","upstream bug label","2023-07-14 17:09:13","2023-07-16 19:15:15","","When removing an uninstaller named ""Update"" (belonging to MongoDB), the leftover removal came up with a lot of `Good` & `Very Good` confidence leftovers.
Among them, the Chrome & Office Updaters, the Discord autostart entry (since it points to `DiscordPTB/Update.exe`), etc
![image](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/29953391/08d190a6-758b-42c2-bcac-1bbe7d79e329)
It's not clear what could be done about uninstallers with a generic name such as this one, but it could be worth improving if possible since accidentally removing any of the above false-positives would be quite annoying.  
Possibly make a list of common generic names such as ""Update"" that should be treated as low confidence?
Possibly seek to find out why the mongodb updaters name was detected as ""Updater"" in the first place and see if the selected name could be improved? (I sadly don't have the info about what it's detected install folder etc was named anymore since I just uninstalled it) "
"534","Unable to delete registry","open","","bug-like","manual triage from title/body","2023-09-08 04:54:14","2023-09-27 19:40:05","","Unable to clean clean Google Chrome registry"
"538","Uninstalling as admin leaves app links for users","open","","bug-like","manual triage from title/body","2023-09-22 07:52:48","2023-09-27 19:47:40","","Hi,

clean installed computer (only admin account) and using BCU to remove MS apps (Cortona, Goove Music etc etc) works really well. After uninstall the apps are not showing in the installed apps list (or start menu) anymore. But when making a new user (Standard user), that user has all the Apps listed in the Start Menu and also under Installed Apps (usually with a size of 8kB). But if the user tries to start the app it is still there/will be downloaded. As BCU is run as admin it will not show the apps the user sees because it shows what the admin user sees.

Is there a way to remove the apps from the user as well?"
"540","Failed to delete some items","open","","bug-like","manual triage from title/body","2023-09-29 08:08:26","2023-10-01 14:43:57","","Error when program tries to delete Bonjour services before deleting the main Bonjour program
![image](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/24494814/de70deab-156b-47ca-a3b6-e155c01b8cfe)
"
"551","Forever Loading when starting both in standalone and protable ver.","open","","bug-like","manual triage from title/body","2023-11-07 05:04:09","2023-11-08 20:00:01","","![Image_1699333357249](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/30388472/03fa65d0-e47a-40fd-838e-357125db3234)

Forever loading. "
"552","Launch Error causing freezing, making program unusable: System.Text.Json.JsonException","open","","bug-like","manual triage from title/body","2023-11-07 11:02:32","2024-04-11 17:26:13","","Windows 10 x64 | BCU v.5.6 & v5.7 x64 [SETUP] | AMD CPU

## How to reproduce
- Install *non*-portable version
- I have used prior versions of the software (pretty sure I have updated the software without any issues before)
- I updated to v5.7 and the error occurred

## Workaround
- v5.6 PORTABLE seems to work fine

**File:**
BCUninstaller.dll [5.7.0.0] - This error also occurs in version 5.6

**Exception**
'C' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.

**Target Site**
Void ReThrowWithPath(System.Text.Json.ReadStack ByRef, System.Text.Json.JsonReaderException) @ System.Text.Json.ThrowHelper

**NBug:** 1.2.0.0
**CLR:** 6.0.22

![image](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/67185896/418d4bc9-06e2-40d1-8d8c-15b5c7db2179)
![image](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/67185896/ab958303-d92f-44b0-b667-1a0bc9f77a96)
"
"558","file picker in ""export data of selected uninstallers"" picks ""desktop"" from other ""user""","open","bug; low priority","bug","upstream bug label","2023-11-20 18:11:28","2023-12-07 13:41:03","","### Titles & Summaries:

* file picker in ""export data of selected uninstallers"" picks ""desktop"" from other ""user""
* ""export data of selected uninstallers"" picks desktop from other user

### Details:

on clicking ""desktop"" in the file picker in the mentioned dialog, it picks the desktop directory belonging to other user in case of multi-user windows

### Steps:

perform [these](https://github.com/Klocman/Bulk-Crap-Uninstaller/issues/396#issuecomment-1207341576) on a multi-user system

0. have multi-users on system
1. open bcu
2. select any uninstaller
3. file > export data of selected uninstallers
4. pick desktop in the file picker shown

### additional context:

i have two users: 
1. admin: this user was created _after_ the current user one - if i recall correct.
2. personal: the user i was using currently

umh, i think it would need more info too - but i don't know which one, so, feel free to ask :)"
"560","WindowsApps (Microsoft Store)","open","junk/app detection","bug-like","manual triage from title/body","2023-11-21 19:39:53","2023-12-13 09:41:19","","Friendly reminder: Bulk-Crap-Uninstaller does not remove older versions of apps installed from the Microsoft Store App.

Microsoft Store apps Folders;
- C:\Program Files\WindowsApps\
- C:\Users\{user}\AppData\Local\Packages\

```bash
# List Microsoft Store apps for all users
Get-AppxPackage -AllUsers | Sort-Object Name | Select-Object PackageFullName, Name, Version

# List Microsoft Store apps for a specific user (replace {user} with your username)
Get-ChildItem -Path ""C:\Users\{user}\AppData\Local\Packages\"" | ForEach-Object { $PackageName = $_.Name; Get-AppxPackage | Where-Object { $_.PackageFamilyName -like ""*$PackageName*"" } | Sort-Object Name | Select-Object PackageFullName, Name, Version }
```

![Screenshot 2023-11-21 125657](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/12288837/6cebec1c-b84a-44d7-9e22-2208a8ea67c9)
![Screenshot 2023-11-21 130620](https://github.com/Klocman/Bulk-Crap-Uninstaller/assets/12288837/d89f11c3-25c3-4bc3-b6a0-0289c262de4f)


"
