"number","title","state","labels","created_at","updated_at","closed_at"
"551","Forever Loading when starting both in standalone and protable ver.","open","","2023-11-07 05:04:09","2023-11-08 20:00:01",""
"552","Launch Error causing freezing, making program unusable: System.Text.Json.JsonException","open","","2023-11-07 11:02:32","2024-04-11 17:26:13",""
"556","Add option to auto-close the ""Uninstall progress"" window and proceed to next step","open","enhancement","2023-11-15 19:07:19","2023-11-15 19:07:19",""
"558","file picker in ""export data of selected uninstallers"" picks ""desktop"" from other ""user""","open","bug; low priority","2023-11-20 18:11:28","2023-12-07 13:41:03",""
"560","WindowsApps (Microsoft Store)","open","junk/app detection","2023-11-21 19:39:53","2023-12-13 09:41:19",""
"561","Leftovers still present on the system","open","junk/app detection","2023-11-22 15:17:46","2023-12-17 16:45:04",""
"566","Service detection and removal","open","","2023-12-03 11:43:48","2023-12-06 13:04:02",""
"567","[Feature request] Remember window/column sizes","open","enhancement","2023-12-03 11:50:17","2023-12-06 12:38:45",""
"568","[Feature request] Duplicate app finder/filter","open","enhancement","2023-12-03 12:10:01","2025-06-12 13:00:41",""
"571","Cant deinstall IOBIT Uninstaller","open","","2023-12-07 08:06:51","2023-12-07 13:37:17",""
"572","Can you provide a Traditional Chinese interface?","open","enhancement","2023-12-17 06:53:57","2024-02-23 16:25:48",""
"576","Autodesk Products stuck on user prompt.","open","automatization","2024-01-11 11:02:18","2024-02-23 16:26:18",""
"579","Missing/Broken Msiexec Circumventing CPU Stall Checks","open","bug; automatization","2024-01-23 19:24:28","2024-02-23 16:25:17",""
"584","Error due to deleted windows defender folders","open","cant-reproduce","2024-02-13 08:50:07","2024-05-25 08:37:19",""
"608","Fresh install of Windows 11 in the EU, BCUninstaller did great but missed Spotify!","open","junk/app detection; low priority","2024-05-10 12:47:09","2024-05-10 12:55:18",""
"616","Change the search engine","open","","2024-05-28 19:39:23","2024-05-28 23:22:02",""
"627","Really slow on Windows 11","open","","2024-07-17 14:07:44","2025-11-01 23:39:21",""
"628","I encountered an issue","open","","2024-07-19 11:45:21","2024-08-21 12:51:29",""
"631","i can't seem to uninstall some stuff, it just kept saying that i needed to turn of uninstall protection","open","wontfix","2024-08-09 09:45:08","2024-10-26 03:18:13",""
"634","Feature request: changes to removal of leftovers confirmation window","open","enhancement; low priority","2024-08-17 13:31:36","2024-08-21 15:12:24",""
"640","NEW FEATURE: Re-launch after restarting","open","enhancement","2024-08-29 08:59:02","2024-09-02 20:50:55",""
"644","High DPI Distorts the startup screen","open","","2024-09-03 12:41:44","2024-09-03 12:41:44",""
"647","Whenever cleaning up Program Files folders, I get this message","open","","2024-09-11 17:58:24","2024-11-15 14:48:50",""
"649","无法扫描出clash和v2ray等翻墙软件","open","","2024-09-24 20:13:16","2024-11-13 09:29:49",""
"655","Errors on startup","open","","2024-10-17 06:28:48","2024-11-13 09:23:04",""
"669","BCU wants to close just about every running background program when uninstalling","open","","2024-11-21 06:42:37","2025-02-20 17:41:43",""
"680","(SERIOUS BUG) Bulk Crap Uninstaller FAILS to detect or show up ""Edge Browser"" in the searches for uninstallation. W11.","open","","2024-12-02 03:21:22","2025-02-20 17:46:25",""
"682","Bad scrolling animations","open","bug","2024-12-05 10:40:34","2026-01-13 01:59:15",""
"683","After changing user rights, BCU does not see the current user's applications","open","","2024-12-06 22:35:46","2025-02-20 17:48:49",""
"685","Can the project icons be made larger and more attractive? Sometimes, larger icons are easier to recognize.","open","enhancement; low priority","2024-12-18 08:58:21","2025-02-20 20:33:49",""
"690","exclude symlink as a program","open","bug; junk/app detection","2025-01-08 05:41:53","2025-02-20 17:51:12",""
"691","[Feature Request/Bug] Text becomes unreadable with Rectify11 dark theme; request for customizable text color | 使用 rectify11 深色主题后字体无法查看，希望增加自定义文字颜色功能","open","","2025-01-10 06:58:27","2025-01-15 00:38:21",""
"699","Invalid leftover removal item","open","bug; junk/app detection","2025-02-09 08:53:10","2025-02-20 17:59:04",""
"703","[FEATURE] Add ability to remember leftovers after closing Leftover Removal tool","open","enhancement","2025-02-19 10:14:30","2025-04-28 12:37:19",""
"714","Desktop Icon Missing","open","","2025-02-27 14:39:05","2025-04-28 12:36:19",""
"716","Opera and Opera Air not listed","open","junk/app detection","2025-03-02 17:22:37","2025-11-30 23:23:52",""
"717","Worked berfore but crash suddendly without any reasons","open","bug","2025-03-03 08:46:42","2025-04-28 13:13:28",""
"724","Marks all wrong items with Good confidence, all right items with Bad confidence","open","bug; junk/app detection","2025-03-30 15:03:55","2025-07-17 14:20:17",""
"725","the application is not uninstalling games properly","open","","2025-04-02 02:11:03","2025-04-28 12:18:20",""
"727","Leftover removal of ""Mentor Graphics CAMCAD Runtime install"" wants to remove half the Windows registry","open","bug; junk/app detection","2025-04-04 15:50:44","2025-04-28 12:16:47",""
"728","删除雷电模拟器，仍然存在相关的文件夹残留","open","junk/app detection","2025-04-05 03:19:12","2025-04-28 12:08:13",""
"734","Almost had to deal with irreparable damage to my computer","open","","2025-04-15 05:33:54","2025-04-28 11:51:53",""
"736","Feature Request: Automatic Leftover Removals/Leftover Scan without uninstallation","open","enhancement","2025-04-18 07:07:47","2025-05-03 19:15:38",""
"752","Version v4.16 not running under Windows XP","open","","2025-06-01 22:23:58","2025-06-29 22:39:59",""
"756","Feature request: Context Menu Manager under Tools","open","enhancement; low priority","2025-06-14 12:16:29","2025-06-29 22:40:43",""
"758","BCUninstaller Removed Shared Settings Folder for Multiple Blender Versions","open","enhancement","2025-06-26 04:22:39","2025-06-29 22:46:57",""
"763","Hindi installer translation needs to be updated","open","help wanted","2025-06-30 17:36:07","2025-07-02 08:09:38",""
"769","When the installer selects a non-English language, the program remains in English after installation if the ""Extra Languages"" option is unchecked","open","enhancement","2025-07-02 08:05:23","2025-07-02 08:10:21",""
"770","Antivirus flagging latest BCU release as Trojan:Script/Wacatac.H!ml","open","wontfix","2025-07-02 11:11:51","2025-10-20 14:38:26",""
"775","First launch of an app produces an error (very minor thing)","open","bug","2025-07-08 12:13:54","2025-08-03 17:20:33",""
"779","Error: File doesn't exist (it does)","open","","2025-07-17 14:15:32","2026-03-04 09:09:39",""
"780","Different information: size application ffmpeg nighlty (via scoop)","open","","2025-07-23 07:59:01","2025-08-03 22:29:39",""
"781","Filtered for publisher, selected program but BCU says no uninstallers selected","open","","2025-07-27 11:20:29","2025-08-03 19:19:50",""
"784","Install date questionable","open","","2025-08-05 13:20:47","2025-08-05 13:21:16",""
"788","Edge from yesterday fails to uninstall.","open","","2025-08-19 02:53:08","2025-09-25 18:47:05",""
"792","File size wrong","open","","2025-08-27 20:03:00","2025-08-27 20:07:44",""
"793","The program freezes when deleting any application","open","","2025-08-27 22:11:00","2025-09-06 22:46:13",""
"794","BCU thinks a folder is an application as namee Revo Uninstaller","open","","2025-08-31 14:50:57","2025-09-04 09:32:10",""
"800","some apps dont show up in BCuninstaller List, one example i currently encountered is VMware Workstation","open","","2025-09-25 18:40:26","2025-09-25 18:40:26",""
"807","Incorrect publisher info for a game","open","","2025-10-10 10:40:16","2026-03-02 18:33:15",""
"809","Bubble Witch Saga","open","","2025-10-12 15:45:16","2026-03-02 18:31:44",""
"810","Swedish translation causes UI overflow in some windows","open","bug; help wanted; good first issue","2025-10-14 17:49:14","2026-03-06 08:46:26",""
"813","Installer installs .NET 6 even when a higher .NET version (e.g., .NET 9) is already installed","open","low priority","2025-10-30 13:43:59","2026-03-07 18:02:00",""
"814","[Feature Request] [Accessibility + Convenience] Provide a 'Status' text column matching app list background color","open","enhancement; good first issue","2025-11-02 21:19:53","2026-03-07 14:21:33",""
"816","BCunistaller Ran into some unexpected error","open","cant-reproduce","2025-11-08 08:26:55","2026-03-02 18:06:09",""
"818","cannot uninstall libreoffice and brave  a few times! still there","open","","2025-12-09 13:17:52","2026-03-02 23:26:09",""
"821","Some installations still in registry, disk(file/directory)","open","invalid","2025-12-18 11:50:57","2026-03-02 18:01:02",""
"827","A bug was found in the uninstall from directory feature of the portable version 5.9.0.","open","bug; cant-reproduce","2026-02-04 11:57:43","2026-03-02 17:58:53",""
"841","Full ARM64 support","open","enhancement","2026-03-03 08:15:00","2026-03-05 05:18:36",""
"862","Bug: Orphaned MSI uninstallers only visible as ""System components""","open","","2026-03-06 11:20:15","2026-03-06 19:11:00",""
"863","How to open BCU with a special search pattern and a customized set of filters?","open","","2026-03-06 11:26:16","2026-03-06 19:27:10",""
"866","""The feature you are trying to use is on a network resource that is unavailable."" pop-up window in v6.1.0","open","bug","2026-03-07 12:59:29","2026-03-07 14:15:16",""
